Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
AUDCAD;AUD;CAD;Australian Dollar vs Canadian Dollar;5;0.000010;8;0.000010;0.718293;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;1.300000;-5.900000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;372.821555;0.920600;0.920680;Currency;Undefined;0.005229;0.011995;0.025819
AUDCHF;AUD;CHF;Australian Dollar vs Swiss Franc;5;0.000010;8;0.000010;1.255887;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;4.200000;-7.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;369.176313;0.526530;0.526610;Currency;Undefined;0.003816;0.007901;0.023921
AUDJPY;AUD;JPY;Australian Dollar vs Japanese Yen;3;0.001000;10;0.001000;0.676037;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;5.700000;-12.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;0.000000;97.815000;97.823000;Currency;Undefined;0.578643;1.524643;5.288500
AUDNZD;AUD;NZD;Australian Dollar vs New Zealand Dollar;5;0.000010;12;0.000010;0.579400;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.200000;-6.300000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;259.170703;1.141270;1.141390;Currency;Undefined;0.005396;0.009211;0.020060
AUDUSD;AUD;USD;Australian Dollar vs US Dollar;5;0.000010;4;0.000010;1.000000;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;-2.600000;-0.700000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;471.496288;0.661290;0.661330;Currency;Undefined;0.004696;0.011626;0.029379
CADCHF;CAD;CHF;Canadian Dollar vs Swiss Franc;5;0.000010;11;0.000010;1.255871;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CAD;1970.01.01 00:00;1970.01.01 00:00;2.100000;-5.800000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;468.714390;0.571850;0.571960;Currency;Undefined;0.003598;0.007834;0.019869
CADJPY;CAD;JPY;Canadian Dollar vs Japanese Yen;3;0.001000;8;0.001000;0.676014;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CAD;1970.01.01 00:00;1970.01.01 00:00;3.700000;-9.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;426.706530;106.244000;106.252000;Currency;Undefined;0.613429;1.569714;5.039857
CHFJPY;CHF;JPY;Swiss Frank vs Japanese Yen;3;0.001000;21;0.001000;0.676014;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CHF;1970.01.01 00:00;1970.01.01 00:00;-8.900000;-2.600000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;678.688677;185.764000;185.784000;Currency;Undefined;0.822857;2.161000;6.474143
EURAUD;EUR;AUD;Euro vs Australian Dollar;5;0.000010;11;0.000010;0.661290;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-13.800000;2.900000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;598.003971;1.774710;1.774820;Currency;Undefined;0.009552;0.021516;0.063008
EURCAD;EUR;CAD;Euro vs Canadian Dollar;5;0.000010;11;0.000010;0.718236;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-5.600000;-1.500000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;663.590159;1.633940;1.634040;Currency;Undefined;0.008644;0.019405;0.044316
EURCHF;EUR;CHF;Euro vs Swiss Franc;5;0.000010;3;0.000010;1.255871;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;3.200000;-8.700000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;288.804056;0.934500;0.934530;Currency;Undefined;0.002689;0.006961;0.021506
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;0.000010;7;0.000010;1.344150;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-7.000000;2.600000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;452.671851;0.873110;0.873180;Currency;Undefined;0.003036;0.008118;0.018601
EURJPY;EUR;JPY;Euro vs Japanese Yen;3;0.001000;4;0.001000;0.676000;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;3.400000;-12.900000;1;3;15:30-21:15 00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;525.110867;173.607000;173.611000;Currency;Undefined;0.709643;2.051714;7.286786
EURMXN;EUR;MXN;Euro vs. Mexican Peso;5;0.000010;336;0.000010;0.054596;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-575.400000;112.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;555.489380;21.494080;21.496940;Currency;Undefined;0.127179;0.287951;1.052661
EURNOK;EUR;NOK;Euro vs Norwegian Kroner;5;0.000010;147;0.000010;0.100125;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-112.300000;11.800000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;583.161762;11.720420;11.721990;Currency;Undefined;0.075431;0.164648;0.432366
EURNZD;EUR;NZD;Euro vs New Zealand Dollar;5;0.000010;21;0.000010;0.579400;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-11.900000;-3.300000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;688.627085;2.025630;2.025840;Currency;Undefined;0.011668;0.026226;0.064809
EURSEK;EUR;SEK;Euro vs Swedish krona;5;0.000010;353;0.000010;0.106221;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-31.100000;-38.700000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;521.028572;11.046150;11.049570;Currency;Undefined;0.070925;0.148277;0.325559
EURTRY;EUR;TRY;Euro vs. Turkish Lira;5;0.000010;2802;0.000010;0.024051;100000.000000;3;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-13389.500000;-26296.400000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;768.733742;48.819790;48.847810;Currency;Undefined;0.310630;0.782346;2.048891
EURUSD;EUR;USD;Euro vs US Dollar;5;0.000010;3;0.000010;1.000000;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.000000;3.600000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;860.459124;1.173620;1.173650;Currency;Undefined;0.007567;0.018152;0.041244
GBPAUD;GBP;AUD;Great Britain Pound vs Australian Dollar;5;0.000010;16;0.000010;0.661250;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;-3.900000;-7.300000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;614.878664;2.032600;2.032760;Currency;Undefined;0.011119;0.026015;0.066687
GBPCAD;GBP;CAD;Great Britain Pound vs Canadian Dollar;5;0.000010;21;0.000010;0.718231;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;4.100000;-13.500000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;868.964924;1.871240;1.871450;Currency;Undefined;0.010206;0.022595;0.053716
GBPCHF;GBP;CHF;Great Britain Pound vs Swiss Franc;5;0.000010;18;0.000010;1.255824;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;8.800000;-15.900000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;684.306861;1.070180;1.070350;Currency;Undefined;0.005354;0.013045;0.033591
