Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;AskPrice/ATR_D1;AskPrice/ATR_W1;AskPrice/ATR_MN1;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;7.00000000000145e-05;1e-05;1.35196;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-7.1;2.8;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;778.307622;0.86401;0.86408;Currency;Undefined;0.004327;0.00871;0.018535;900.7356054994908;0.008101101749839655;199.69493875664432;99.20551090700344;46.618829241974645;0.005007638181649848;0.010080085177298399;0.02145056013332099
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;2.999999999997449e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.6;4.4;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;1227.220656;1.16816;1.16819;Currency;Undefined;0.008864;0.019869;0.040524;1050.5317251474503;0.002568075398691522;131.7903880866426;58.794604660526446;28.82711479617017;0.0075878067780070025;0.017008363365548413;0.03468956248555457
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;1.999999999990898e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.7;-1.9;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;998.276315;1.35196;1.35198;Currency;Undefined;0.009108;0.022259;0.048044;738.3809782689093;0.001479311824132678;148.43873517786562;60.73857765398265;28.14045458329864;0.0067367860471308745;0.01646400094675957;0.03553602863947692
6A_U;USD;USD;Australian Dollar September;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;520.121505;0.64885;0.6489;Currency;Undefined;0.004993;0.011837;0.029256;801.5433888118353;0.007705347511171905;129.9619467254156;54.81963335304554;22.18006562756358;0.007694560024657112;0.01824163969795038;0.04508552935737402
6B_U;USD;USD;British Pound September;4;0.0001;9.999999999998899e-05;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2130.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;626.07383;1.3523;1.3524;Currency;Undefined;0.008914;0.021979;0.048;462.935396332446;0.00739426205264633;151.71640116670406;61.53146184994768;28.175;0.006591245193729666;0.01625184856551316;0.0354924578527063
6C_U;USD;USD;Canadian Dollar September;5;1e-05;9.999999999998899e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1440.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;333.201978;0.72485;0.72495;Currency;Undefined;0.002836;0.008018;0.019419;459.6206331471136;0.013794054762395888;255.62411847672777;90.41531554003492;37.33199443843658;0.0039119939306159045;0.011060073108490243;0.026786674943099522
6E_U;USD;USD;Euro FX September;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;2970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1527.878851;1.17025;1.17035;Currency;Undefined;0.008868;0.019817;0.0402;1305.488828982783;0.008544452514204211;131.9745151105097;59.05787959832467;29.11318407960199;0.007577220489597128;0.016932541547400353;0.03434869910710471
6J_U;USD;USD;Japanese Yen September;7;0.0;1.0000000000001327e-06;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3560.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;938.419323;0.00679;0.006791;Currency;Undefined;6.5e-05;0.000142;0.000343;138185.73450154616;0.0147253718156403;104.47692307692309;47.82394366197183;19.798833819241985;0.009571491680164922;0.02091002797820645;0.05050802532763952
6N_U;USD;USD;New Zeland Dollar September;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2370.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;481.532418;0.59255;0.5926;Currency;Undefined;0.004868;0.011543;0.028894;812.5757981775228;0.008437394532567413;121.73377156943305;51.3384735337434;20.50944832837268;0.008214647316908538;0.019478569017887276;0.04875801552480594
6S_U;USD;USD;Swiss Franc September;5;1e-05;0.00014999999999987246;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1390.789722;1.2454;1.24555;Currency;Undefined;0.009164;0.021609;0.044209;1116.6068981574406;0.012042872626540281;135.91772151898732;57.64033504558286;28.174127440114;0.007357392316647265;0.01734896230580868;0.0354935570631448
BZ_V;USD;USD;Brent Crude Oil October;2;0.01;0.01999999999999602;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1704.435975;66.04;66.06;Commodities;Commodities - Energy;1.684286;5.042143;7.936429;25.80133174386921;0.03027550711473815;39.22136739247373;13.101572089486554;8.323642786951158;0.025496306388132;0.07632671813502877;0.12013970632758099
CL_V;USD;USD;Light Sweet Crude October;2;0.01;0.01999999999999602;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1696.868751;62.17;62.19;Commodities;Commodities - Energy;1.684286;5.003571;8.055;27.28523478051133;0.03215951117542373;36.92365785858221;12.429123120267503;7.720670391061453;0.02708290721981026;0.08045619874577907;0.12952243125904486
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;16540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;4015.476746;6460.25;6460.5;Indexes;Utilities - Regulated Electric;70.410714;171.982143;390.732143;0.6215427205324665;0.003869669530222119;91.7545020208146;37.564946495637045;16.534344859363156;0.01089864778267936;0.026620562340376134;0.06048017072981968
GC_V;USD;USD;Gold October;1;0.1;0.20000000000027285;0.1;10.0;1.0;4;2;1.0;20.0;1.0;18600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;5597.402808;3357.1;3357.3;Commodities;Undefined;48.5;125.971429;227.178571;1.6672334340094717;0.005957167962358825;69.22268041237113;26.65128137904985;14.77824244259376;0.014446132308700442;0.03752164805051678;0.06766704524469067
HE_V;USD;USD;Lean Hogs October;3;0.001;0.04999999999999716;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;664.043841;90.275;90.325;Utilities;Utilities - Diversified;1.782143;3.021429;5.576786;7.351717032936618;0.05535566011624374;50.68336267067233;29.894794813977096;16.1966049979325;0.019730340437309715;0.03345063935787434;0.061741334071408804
HG_U;USD;USD;Copper September;4;0.0001;0.001000000000000334;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;10540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;8041.452846;4.4795;4.4805;Commodities;Commodities - Precious;0.177464;0.369857;0.633571;1794.76684432541;0.02231893761857681;25.247374115313526;12.114141411410356;7.071819890746262;0.03960807945541792;0.08254815310791205;0.14140631625934605
HG_Z;USD;USD;Copper December;4;0.0001;0.0015000000000000568;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;11100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;8153.917474;4.544;4.5455;Commodities;Commodities - Precious;0.178714;0.374571;0.642;1793.8439058409415;0.032999670003301215;25.43449310070839;12.13521602046074;7.0802180685358245;0.03931668683313167;0.08240479595204048;0.14123858761412386
HO_U;USD;USD;Heating Oil September;4;0.0001;0.0013000000000000789;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2325.632899;2.2398;2.2411;Commodities;Undefined;0.0624;0.179636;0.271136;1037.719378430235;0.05800722859310512;35.9150641025641;12.47578436393596;8.265593650418978;0.02784346972468877;0.08015528088884923;0.12098344562937843
HO_V;USD;USD;Heating Oil October;4;0.0001;0.0010999999999996568;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21400.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2316.498594;2.236;2.2371;Commodities;Undefined;0.061179;0.178407;0.269857;1035.4917500335257;0.04917080148404885;36.56646888638258;12.539306193142645;8.28994615666816;0.02734745876357785;0.07974922891243129;0.12062804523713738
KE_U;USD;USD;Hard Red Wheat September;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2950.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;493.073574;501.25;501.5;Commodities;Commodities - Agricultural;10.071429;26.696429;68.982143;0.983197555333998;0.049850448654037885;49.794324122227344;18.78528397936668;7.269997396282688;0.020082610169491526;0.05323315852442672;0.13755163110667995
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;511.289194;523.25;523.5;Commodities;Commodities - Agricultural;10.196429;27.535714;71.75;0.9766746781279848;0.04775549188156638;51.34150397163556;19.01167334901866;7.29616724738676;0.01947741929321872;0.05259926265520535;0.13705826170009552
