Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio
6A_U;USD;USD;Australian Dollar September;5;1e-05;5;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;559.865875;0.64815;0.6482;Currency;Undefined;0.004486;0.011597;0.029256;863.7239663684047
6B_U;USD;USD;British Pound September;4;0.0001;2;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2130.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;627.296434;1.3455;1.3457;Currency;Undefined;0.007814;0.021657;0.048;466.1487954224567
6C_U;USD;USD;Canadian Dollar September;5;1e-05;5;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1440.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;334.870357;0.72215;0.7222;Currency;Undefined;0.002739;0.008142;0.019419;463.68091525893107
6E_U;USD;USD;Euro FX September;5;1e-05;5;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;2970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1597.12865;1.1626;1.16265;Currency;Undefined;0.007768;0.019536;0.0402;1373.6968563196149
6J_U;USD;USD;Japanese Yen September;7;0.0;10;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3560.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;986.771467;0.006781;0.006782;Currency;Undefined;5.3e-05;0.000137;0.000343;145498.59436744323
6N_U;USD;USD;New Zeland Dollar September;5;1e-05;10;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2370.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;532.596534;0.58505;0.58515;Currency;Undefined;0.004761;0.011701;0.028894;910.1880440912588
6S_U;USD;USD;Swiss Franc September;5;1e-05;10;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1480.277911;1.24265;1.24275;Currency;Undefined;0.008046;0.021127;0.044209;1191.1308879501105
BZ_V;USD;USD;Brent Crude Oil October;2;0.01;2;0.01;10.0;1.0;3;2;1.0;20.0;1.0;13500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1801.405069;68.77;68.79;Commodities;Commodities - Energy;1.372143;5.004286;7.936429;26.18701946503852
BZ_X;USD;USD;Brent Crude Oil November;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1780.744018;68.2;68.22;Commodities;Commodities - Energy;1.336429;4.957143;7.862143;26.10296127235415
CL_V;USD;USD;Light Sweet Crude October;2;0.01;1;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1771.151685;64.78;64.79;Commodities;Commodities - Energy;1.368571;4.956429;8.055;27.3368063744405
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;16540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;4335.419517;6455.0;6455.25;Indexes;Utilities - Regulated Electric;62.125;160.339286;390.732143;0.671611404205879
GC_V;USD;USD;Gold October;1;0.1;3;0.1;10.0;1.0;4;2;1.0;20.0;1.0;18600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;5396.688791;3383.2;3383.5;Commodities;Undefined;42.821429;115.978571;227.178571;1.5950018593172748
HE_V;USD;USD;Lean Hogs October;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;691.564937;91.4;91.45;Utilities;Utilities - Diversified;1.642857;3.016071;5.576786;7.562219103335155
HG_U;USD;USD;Copper September;4;0.0001;5;0.0005;12.5;1.0;3;2;1.0;20.0;1.0;10540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;7864.164052;4.461;4.4615;Commodities;Commodities - Precious;0.062821;0.364821;0.633571;1762.6726553849603
HG_Z;USD;USD;Copper December;4;0.0001;10;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;11100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;7987.540006;4.532;4.533;Commodities;Commodities - Precious;0.062;0.368571;0.642;1762.0869194793734
HO_U;USD;USD;Heating Oil September;4;0.0001;12;0.0001;4.2;1.0;3;2;1.0;20.0;1.0;21500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2552.091514;2.3503;2.3516;Commodities;Undefined;0.053029;0.181736;0.271136;1085.257490219425
HO_V;USD;USD;Heating Oil October;4;0.0001;13;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21400.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2541.228524;2.3459;2.3469;Commodities;Undefined;0.0516;0.180221;0.269857;1082.802217393157
KE_U;USD;USD;Hard Red Wheat September;2;0.01;50;0.25;12.5;1.0;3;2;1.0;20.0;1.0;2950.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;469.700914;497.25;497.75;Commodities;Commodities - Agricultural;9.553571;25.482143;68.982143;0.9436482451029634
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;50;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;484.823716;521.25;521.75;Commodities;Commodities - Agricultural;9.535714;26.196429;71.75;0.9292260967896502
LE_V;USD;USD;Live Cattle October;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;2036.658396;236.925;236.975;Commodities;Commodities - Agricultural;4.1625;7.232143;12.205357;8.594401924253614
NG_U;USD;USD;Natural Gas September;3;0.001;2;0.001;10.0;1.0;3;2;1.0;20.0;1.0;6200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1326.003105;2.7;2.702;Commodities;Commodities - Energy;0.122786;0.365286;0.991929;490.7487435233161
NG_V;USD;USD;Natural Gas October;3;0.001;1;0.001;10.0;1.0;4;2;1.0;20.0;1.0;4900.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1342.069775;2.812;2.813;Commodities;Commodities - Energy;0.120929;0.375571;1.023143;477.0955474582296
NQ_U;USD;USD;E-mini Nasdaq 100 September;2;0.01;75;0.25;5.0;1.0;4;2;1.0;20.0;1.0;30830.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;8496.187176;23495.75;23496.5;Indexes;Undefined;311.428571;717.5;1882.857143;0.3615937342157342
