Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;6.0000000000060005e-05;1e-05;1.34777;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.7;2.4;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;677.737542;0.86361;0.86367;Currency;Undefined;0.003648;0.008705;0.018535;784.7181701344263;0.006947097849880162;0.004223835492722915;0.010079081130524388;0.021460743107900006
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;2.999999999997449e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.9;4.6;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;1219.904926;1.16401;1.16404;Currency;Undefined;0.00822;0.019576;0.040524;1047.992273461393;0.0025772310229867095;0.007061613002989588;0.01681729150201024;0.03481323665853407
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;7.00000000000145e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.3;-2.3;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;999.903922;1.34782;1.34789;Currency;Undefined;0.008149;0.021929;0.048044;741.8290231398704;0.005193302124061644;0.006045745572709939;0.01626913175407489;0.035643858178338
6A_U;USD;USD;Australian Dollar September;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;539.157696;0.6496;0.64965;Currency;Undefined;0.004514;0.011597;0.029256;829.9202586007851;0.007696451935656814;0.006948356807511737;0.017851150619564382;0.04503347956592012
6B_U;USD;USD;British Pound September;4;0.0001;9.999999999998899e-05;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2130.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;622.217121;1.3481;1.3482;Currency;Undefined;0.007986;0.021657;0.048;461.5169270137962;0.007417297136922488;0.005923453493546951;0.0160636404094348;0.035603026257231864
6C_U;USD;USD;Canadian Dollar September;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1440.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;334.4004;0.7235;0.72355;Currency;Undefined;0.002739;0.008142;0.019419;462.16626356160594;0.006910372469075322;0.0037855020385598784;0.011252850528643494;0.02683850459539769
6E_U;USD;USD;Euro FX September;5;1e-05;5.0000000000105516e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;2970.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1505.715119;1.1656;1.16565;Currency;Undefined;0.008204;0.019536;0.0402;1291.7386170805987;0.004289452236958394;0.007038133230386478;0.016759747780208466;0.0344871959850727
6J_U;USD;USD;Japanese Yen September;7;0.0;1.0000000000001327e-06;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3560.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;986.814227;0.006797;0.006798;Currency;Undefined;5.2e-05;0.000137;0.000343;145162.43409826417;0.01471020888496812;0.007649308620182406;0.020152986172403648;0.05045601647543395
6N_U;USD;USD;New Zeland Dollar September;5;1e-05;9.999999999998899e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2370.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;515.429672;0.5863;0.5864;Currency;Undefined;0.004718;0.011701;0.028894;878.9728376534788;0.017053206002726636;0.008045702592087312;0.01995395634379263;0.04927353342428376
6S_U;USD;USD;Swiss Franc September;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5060.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1377.816741;1.24765;1.24775;Currency;Undefined;0.008086;0.021127;0.044209;1104.2410266479665;0.00801442596673925;0.006480464836706071;0.01693207773993188;0.03543097575636145
BZ_V;USD;USD;Brent Crude Oil October;2;0.01;0.01999999999999602;0.01;10.0;1.0;3;2;1.0;20.0;1.0;13500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1631.049277;67.28;67.3;Commodities;Commodities - Energy;1.382857;5.004286;7.936429;24.23550188707281;0.029717682020796467;0.020547652303120358;0.07435789004457652;0.11792613670133731
BZ_X;USD;USD;Brent Crude Oil November;2;0.01;0.01999999999999602;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1610.073778;66.75;66.77;Commodities;Commodities - Energy;1.344286;4.957143;7.862143;24.11373038789876;0.029953571963450686;0.02013308372023364;0.07424206979182268;0.11774963306874345
CL_V;USD;USD;Light Sweet Crude October;2;0.01;0.00999999999999801;0.01;10.0;1.0;4;2;1.0;20.0;1.0;13800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1622.716064;63.32;63.33;Commodities;Commodities - Energy;1.386429;4.956429;8.055;25.62318117795673;0.01579030475287859;0.021892136428233063;0.07826352439602084;0.12719090478446235
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;16540.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;4382.245064;6481.0;6481.25;Indexes;Utilities - Regulated Electric;60.25;160.339286;390.732143;0.67614195780135;0.0038572806171648984;0.009296046287367406;0.024738944802314367;0.06028654086788814
GC_V;USD;USD;Gold October;1;0.1;0.3000000000001819;0.1;10.0;1.0;4;2;1.0;20.0;1.0;18600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;5354.168547;3409.1;3409.4;Commodities;Undefined;40.992857;115.978571;227.178571;1.5704137229424533;0.008799202205672022;0.012023481257699302;0.03401729659177568;0.0666330061007802
HE_V;USD;USD;Lean Hogs October;3;0.001;0.04999999999999716;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3600.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;706.505548;93.375;93.425;Utilities;Utilities - Diversified;1.5625;3.016071;5.576786;7.56227506556061;0.053518865400050485;0.016724645437516724;0.03228333957720097;0.05969265185978058
HG_Z;USD;USD;Copper December;4;0.0001;0.001000000000000334;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;11100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;7976.157858;4.545;4.546;Commodities;Commodities - Precious;0.058214;0.368571;0.642;1754.544183457985;0.021997360316769334;0.012805543334799824;0.08107589089309282;0.14122305323361195
HO_U;USD;USD;Heating Oil September;4;0.0001;0.0009000000000001229;0.0001;4.2;1.0;3;2;1.0;20.0;1.0;21500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2503.39148;2.2788;2.2797;Commodities;Undefined;0.051807;0.181736;0.271136;1098.123209194192;0.039478878799847475;0.022725358599815764;0.07971926130631224;0.11893494758082203
HO_V;USD;USD;Heating Oil October;4;0.0001;0.000700000000000145;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;21400.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2492.005596;2.2754;2.2761;Commodities;Undefined;0.050321;0.180221;0.269857;1094.8576934229602;0.030754360528981367;0.022108431088265015;0.07917973726989147;0.11856113527525153
KE_Z;USD;USD;Hard Red Wheat December;2;0.01;0.25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;2500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 03:00-15:45 16:30-21:20 ;483.338848;517.25;517.5;Commodities;Commodities - Agricultural;9.196429;26.196429;71.75;0.9339881120772948;0.04830917874396135;0.017770877294685992;0.05062111884057971;0.1386473429951691
LE_V;USD;USD;Live Cattle October;3;0.001;0.07499999999998863;0.025;10.0;1.0;4;2;1.0;20.0;1.0;3800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 16:30-21:05 ;2058.000915;238.125;238.2;Commodities;Commodities - Agricultural;4.103571;7.232143;12.205357;8.639802329974811;0.03148614609571311;0.01722741813602015;0.03036164147774979;0.05123995382031906
NG_V;USD;USD;Natural Gas October;3;0.001;0.001000000000000334;0.001;10.0;1.0;4;2;1.0;20.0;1.0;4900.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1349.902474;2.816;2.817;Commodities;Commodities - Energy;0.119071;0.375571;1.023143;479.1986063187788;0.035498757543497836;0.042268725594604185;0.1333230386936457;0.3632030528931487
NQ_U;USD;USD;E-mini Nasdaq 100 September;2;0.01;0.5;0.25;5.0;1.0;4;2;1.0;20.0;1.0;30830.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;8541.70125;23588.0;23588.5;Indexes;Undefined;300.857143;717.5;1882.857143;0.3621129469868792;0.002119676961231108;0.01275439909277826;0.030417364393666404;0.07982097814613053
PL_V;USD;USD;Platinum October;1;0.1;0.3999999999998636;0.1;5.0;1.0;4;2;1.0;20.0;1.0;5360.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2372.444953;1353.9;1354.3;Commodities;Commodities - Precious;39.292857;115.078571;143.621429;1.751786866277782;0.02953555342242218;0.02901340692608728;0.08497273203869157;0.10604845972088903
RB_U;USD;USD;RBOB Gasoline September;4;0.0001;0.000500000000000167;0.0001;4.2;1.0;3;2;1.0;20.0;1.0;18000.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;2056.742584;2.1332;2.1337;Commodities;Undefined;0.0398;0.125436;0.226957;963.9324103669682;0.023433472371943896;0.018653044008061115;0.05878802080892346;0.1063678117823499
RB_V;USD;USD;RBOB Gasoline October;4;0.0001;0.00039999999999995595;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;17800.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1867.013559;1.96;1.9604;Commodities;Undefined;0.037493;0.115464;0.2097;952.3635783513568;0.020403999183837784;0.01912517853499286;0.05889818404407264;0.10696796572128138
