Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;7.00000000000145e-05;1e-05;1.36369;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.8;2.5;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;470.421208;0.86714;0.86721;Currency;Undefined;0.003465;0.008641;0.018601;0.008071862639962004;0.003995572006780365;0.009964137867413889;0.021449245280843163
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;1.999999999990898e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.7;4.1;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;906.134335;1.18263;1.18265;Currency;Undefined;0.007204;0.01851;0.041244;0.0016911174058182033;0.006091404895784891;0.015651291590918697;0.0348742231429417
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;5.0000000000105516e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.3;-2.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;938.797002;1.36374;1.36379;Currency;Undefined;0.00853;0.02059;0.049542;0.003666253602101901;0.0062546286451726435;0.015097632333423767;0.036326707190989814
6A_Z;USD;USD;Australian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;443.752376;0.6667;0.66675;Currency;Undefined;0.004629;0.011379;0.029532;0.007499062617172028;0.006942632170978629;0.01706636670416198;0.044292463442069746
6B_Z;USD;USD;British Pound December;4;0.0001;0.00020000000000020002;0.0001;6.25;1.0;4;2;1.0;20.0;1.0;2300.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;587.547891;1.3639;1.3641;Currency;Undefined;0.008207;0.0205;0.04945;0.014661681694905067;0.006016421083498278;0.015028223737262664;0.03625100799061652
6C_Z;USD;USD;Canadian Dollar December;5;1e-05;4.999999999999449e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;1500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;314.667574;0.7292;0.72925;Currency;Undefined;0.002879;0.007518;0.019743;0.006856359273225162;0.003947891669523484;0.01030922180322249;0.027073020226259858
6E_Z;USD;USD;Euro FX December;5;1e-05;5.0000000000105516e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;4200.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1132.504595;1.18865;1.1887;Currency;Undefined;0.007175;0.018586;0.041421;0.004206275763447927;0.0060360057205350376;0.01563556826785564;0.034845629679481786
6J_Z;JPY;USD;Japanese Yen December;7;0.0;1.0000000000001327e-06;0.0;6.25;1.0;4;2;1.0;20.0;1.0;3900.0;0.0;0.0;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;625.815674;0.006875;0.006876;Currency;Undefined;4.9e-05;0.000122;0.000346;0.014543339150670923;0.0071262361838278065;0.017742873763816173;0.050319953461314716
6N_Z;USD;USD;New Zeland Dollar December;5;1e-05;9.999999999998899e-05;5e-05;5.0;1.0;4;2;1.0;20.0;1.0;2100.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;518.648363;0.5986;0.5987;Currency;Undefined;0.004546;0.011261;0.029221;0.016702856188406376;0.007593118423250375;0.018809086353766494;0.048807416068147653
6S_Z;USD;USD;Swixx Franc December;5;1e-05;9.999999999998899e-05;5e-05;6.25;1.0;4;2;1.0;20.0;1.0;5500.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-2.88;-0.22;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1345.011003;1.2815;1.2816;Currency;Undefined;0.008418;0.018525;0.038893;0.007802746566790652;0.006568352059925093;0.014454588014981272;0.03034722222222222
