Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;0.000010;2;0.000010;1.347190;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.800000;2.300000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;484.333387;0.871960;0.872030;Currency;Undefined;0.003450;0.008641;0.018601
EURUSD;EUR;USD;Euro vs US Dollar;5;0.000010;3;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.300000;3.800000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;919.586921;1.174740;1.174760;Currency;Undefined;0.007792;0.018510;0.041244
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;0.000010;5;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.100000;-2.500000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;944.223612;1.347140;1.347200;Currency;Undefined;0.009356;0.020590;0.049542
6A_Z;USD;USD;Australian Dollar December;5;0.000010;10;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;2300.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;484.372290;0.660150;0.660250;Currency;Undefined;0.005061;0.011379;0.029532
6B_Z;USD;USD;British Pound December;4;0.000100;1;0.000100;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;2300.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;591.890608;1.347300;1.347400;Currency;Undefined;0.009029;0.020500;0.049450
6C_Z;USD;USD;Canadian Dollar December;5;0.000010;5;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;1500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;317.262445;0.728100;0.728150;Currency;Undefined;0.002889;0.007518;0.019743
6E_Z;USD;USD;Euro FX December;5;0.000010;5;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;4200.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1148.636209;1.180400;1.180450;Currency;Undefined;0.007764;0.018586;0.041421
6J_Z;JPY;USD;Japanese Yen December;7;0.000000;10;0.000000;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;3900.000000;0.000000;0.000000;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;626.883502;0.006816;0.006816;Currency;Undefined;0.000054;0.000122;0.000346
6N_Z;USD;USD;New Zeland Dollar December;5;0.000010;5;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;2100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;536.355162;0.587500;0.587550;Currency;Undefined;0.005168;0.011261;0.029221
6S_Z;USD;USD;Swixx Franc December;5;0.000010;10;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;5500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1324.678217;1.269450;1.269500;Currency;Undefined;0.008957;0.018525;0.038893
BZ_X;USD;USD;Brent Crude Oil November;2;0.010000;2;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;13100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1449.088297;66.620000;66.640000;Commodities;Commodities - Energy;1.473571;4.825714;8.029286
BZ_Z;USD;USD;Brent Crude Oil December;2;0.010000;1;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;13400.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1412.371600;65.990000;66.000000;Commodities;Commodities - Energy;1.431429;3.945000;7.472143
CL_X;USD;USD;Light Sweet Crude November;2;0.010000;1;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;12700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1482.451781;62.340000;62.350000;Commodities;Commodities - Energy;1.458571;4.755714;7.797143
ES_Z;USD;USD;E-Mini S&P 500 December;2;0.010000;25;0.250000;12.500000;1.000000;4;2;1.000000;20.000000;1.000000;20700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 01:00-23:15 23:30-00:00 ;2831.782250;6722.750000;6723.000000;Indexes;Utilities - Regulated Electric;54.267857;146.892857;400.892857
GC_Z;USD;USD;Gold December;1;0.100000;2;0.100000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;19800.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;4090.536693;3717.100000;3717.300000;Commodities;Undefined;49.414286;114.335714;235.635714
