Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
AAL;USD;USD;American Airlines Group Inc;2;0.01;0.009999999999999787;0.01;0.01;1.0;3;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;0.785542;13.0;13.01;Industrials;Airlines;0.457857;1.067857;2.477143;0.0603798616448885;0.07686395080706984;0.03519269792467333;0.08207970791698693;0.19040299769408148
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;0.00999999999999801;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.786299;22.19;22.2;Healthcare;Medical Care Facilities;1.271429;2.423571;10.403571;0.0804639189189189;0.045045045045036085;0.057271576576576576;0.10916986486486487;0.4686293243243243
ADBE;USD;USD;Adobe Inc;2;0.01;0.12000000000000455;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;11.301822;363.49;363.61;Technology;Software - Infrastructure;8.389286;20.674286;64.745714;0.0310822639641373;0.03300239267347008;0.02307220923516955;0.056858408734633256;0.17806362311267568
ADI;USD;USD;Analog Devices Inc;2;0.01;0.25;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;8.382656;254.82;255.07;Technology;Semiconductors;6.593571;13.789286;28.609286;0.0328641392558905;0.09801231034617948;0.02585004508566276;0.05406079115536912;0.11216248872858432
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;0.18999999999999773;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;5.595031;303.94;304.13;Industrials;Staffing & Employment Services;4.326429;10.194286;24.932143;0.0183968401670338;0.06247328445072756;0.01422559103015158;0.03351950152895144;0.0819785716634334
ADSK;USD;USD;Autodesk Inc;2;0.01;1.0699999999999932;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;7.266376;284.74;285.81;Technology;Software - Application;5.973571;14.126429;34.628571;0.0254237990273258;0.37437458451418537;0.020900496833560756;0.04942594380882404;0.1211594100976173
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;0.009999999999990905;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;2.900843;76.59;76.6;Technology;Software - Infrastructure;2.255714;3.905714;11.527857;0.0378700130548302;0.013054830287194393;0.0294479634464752;0.05098843342036554;0.15049421671018276
ALGN;USD;USD;Align Technology Inc;2;0.01;0.28000000000000114;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;21.208222;145.06;145.34;Healthcare;Medical Devices;4.9;18.191429;41.928571;0.1459214393835145;0.19265171322416483;0.03371404981422871;0.12516464153020504;0.28848610843539285
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;2.3899999999999864;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;26.088025;442.56;444.95;Healthcare;Biotechnology;13.202857;24.053571;54.775714;0.0586313630745027;0.5371390043825118;0.029672675581526014;0.05405904258905495;0.12310532419372963
AMAT;USD;USD;Applied Materials Inc;2;0.01;0.3199999999999932;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;9.660228;161.81;162.13;Technology;Semiconductor Equipment & Materials;5.932143;13.015714;33.537143;0.0595832233392956;0.19737247887497267;0.03658880527971381;0.08027949176586689;0.20685340775920558
