Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;RelativeSpread_%;ATR_D1/AskPrice;ATR_W1/AskPrice;ATR_MN1/AskPrice
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;2.0000000000131024e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.6;4.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;753.910121;1.17383;1.17385;Currency;Undefined;0.007459;0.01811;0.041244;0.001703795203827663;0.0063543042126336415;0.015427865570558419;0.03513566469310389
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;4.0000000000040004e-05;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-4.8;-2.6;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;869.341161;1.34473;1.34477;Currency;Undefined;0.008027;0.021212;0.049542;0.0029744863433925506;0.005969050469597031;0.015773701078994923;0.036840500606051596
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;7.00000000000145e-05;1e-05;1.34473;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.9;2.4;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;466.825693;0.87287;0.87294;Currency;Undefined;0.003092;0.008384;0.018601;0.008018878731644155;0.0035420532911769422;0.009604325612298669;0.02130845189818315
AAL;USD;USD;American Airlines Group Inc;2;0.01;0.010000000000001563;0.01;0.01;1.0;3;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;0.292794;11.95;11.96;Industrials;Airlines;0.403571;1.015;2.597857;0.08361204013379232;0.03374339464882943;0.08486622073578594;0.21721212374581936
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;0.10000000000000142;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.46353;24.57;24.67;Healthcare;Medical Care Facilities;1.197857;2.392143;10.252857;0.40535062829347956;0.048555208755573565;0.09696566680178353;0.41560020267531417
ADBE;USD;USD;Adobe Inc;2;0.01;0.37999999999999545;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;8.852719;352.99;353.37;Technology;Software - Infrastructure;10.254286;20.500714;58.496429;0.10753601041401234;0.02901855279169143;0.05801486826838724;0.16553875258227918
ADI;USD;USD;Analog Devices Inc;2;0.01;0.13999999999998636;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;3.334853;248.49;248.63;Technology;Semiconductors;4.585;12.324286;30.38;0.05630857096890414;0.018441056992317902;0.049568780919438525;0.12218959900253389
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;0.22000000000002728;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;4.867058;291.45;291.67;Industrials;Staffing & Employment Services;5.542143;9.766429;24.563571;0.07542770939761624;0.019001415983817327;0.03348451674838002;0.08421699523434018
ADSK;USD;USD;Autodesk Inc;2;0.01;0.30000000000001137;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;11.158991;323.09;323.39;Technology;Software - Application;5.541429;16.890714;34.462857;0.09276724697733739;0.01713543708834534;0.052230167908717026;0.10656747889545132
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;0.45000000000000284;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.965378;76.09;76.54;Technology;Software - Infrastructure;1.775714;3.828571;11.845714;0.5879278808466198;0.023199817089103736;0.050020525215573555;0.15476501175855759
ALGN;USD;USD;Align Technology Inc;2;0.01;0.03999999999999204;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;4.304732;128.1;128.14;Healthcare;Medical Devices;3.946429;16.747143;40.682857;0.031215857655682886;0.030797791478070866;0.1306941080068675;0.31748756828468866
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;1.759999999999991;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;12.778875;458.86;460.62;Healthcare;Biotechnology;12.472143;25.974286;53.282143;0.3820936997959253;0.02707685945030611;0.056389835439190655;0.11567483609048673
AMAT;USD;USD;Applied Materials Inc;2;0.01;0.12000000000000455;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;7.759684;201.43;201.55;Technology;Semiconductor Equipment & Materials;5.085;13.215714;33.019286;0.0595385760357254;0.025229471595137682;0.06557039940461423;0.16382677251302405
