Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;0.000010;7;0.000010;1.348330;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.800000;2.400000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;412.291274;0.870800;0.870870;Currency;Undefined;0.003249;0.008118;0.018646
EURUSD;EUR;USD;Euro vs US Dollar;5;0.000010;4;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-9.900000;3.500000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;813.381815;1.174170;1.174210;Currency;Undefined;0.007614;0.018152;0.041763
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;0.000010;9;0.000010;1.000000;100000.000000;0;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;-4.900000;-2.700000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;857.311908;1.348330;1.348420;Currency;Undefined;0.009092;0.021054;0.049387
ADAUSD;USD;USD;Cardano vs USD;4;0.000100;6;0.000100;0.000100;1.000000;4;2;100.000000;100000.000000;100.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-3.100000;-1.100000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;0.053706;0.869900;0.870500;Crypto Currency;Undefined;0.047229;0.131914;0.327621
BNBUSD;USD;USD;BNB vs USD;2;0.010000;88;0.010000;0.010000;1.000000;4;2;0.100000;1000.000000;0.100000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-51.900000;-27.500000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;57.511910;1169.620000;1170.500000;Crypto Currency;Undefined;48.295714;70.887143;149.317857
DOGEUSD;USD;USD;Dogecoin vs USD;5;0.000010;32;0.000010;0.000010;1.000000;4;2;1000.000000;10000000.000000;100.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-9.100000;-3.200000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;0.021329;0.259080;0.259400;Crypto Currency;Undefined;0.018127;0.039974;0.113478
BTCUSD;USD;USD;Bitcoin vs USD;2;0.010000;1200;0.010000;0.010000;1.000000;4;2;0.010000;1000.000000;0.010000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-4344.500000;-1535.500000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;3924.787090;122730.500000;122742.500000;Crypto Currency;Undefined;3123.607143;6986.227857;18322.640000
ETHUSD;USD;USD;Ethereum vs USD;2;0.010000;28;0.010000;0.010000;1.000000;4;2;0.100000;1000.000000;0.100000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-160.200000;-56.600000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;250.401918;4521.180000;4521.460000;Crypto Currency;Undefined;204.532857;503.868571;969.693571
SOLUSD;USD;USD;Solana vs USD;3;0.001000;175;0.001000;0.001000;1.000000;4;2;1.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-81.070000;-28.650000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;16.465937;233.015000;233.190000;Crypto Currency;Undefined;14.171071;28.049571;69.539071
XRPUSD;USD;USD;Ripple vs USD;4;0.000100;54;0.000100;0.000100;1.000000;4;2;10.000000;100000.000000;10.000000;0.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-10.890000;-3.850000;1;4;00:05-23:59 00:04-23:59 00:04-23:59 00:04-23:59 00:04-23:55 ;0.169182;3.031900;3.037300;Crypto Currency;Undefined;0.155607;0.411221;0.777564
