Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio;Enterprise Value;Market Cap;Next Earnings Date;Next Dividend Date;MCap/EV (%)
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;3;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;0.528972;12.52;12.53;Industrials;Airlines;0.432143;1.08;2.597857;0.0422164405426975;37146390528;8267657216;2025-10-23;Not Available;22.2569598243147
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;6;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.247911;21.41;21.47;Healthcare;Medical Care Facilities;1.112857;2.4;10.252857;0.0581234746157429;4429976576;1978064128;2025-10-30;Not Available;44.65179655162132
ADBE;USD;USD;Adobe Inc;2;0.01;13;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;8.943352;347.22;347.35;Technology;Software - Infrastructure;9.33;21.232143;58.496429;0.0257473787246293;147519307776;148198506496;2025-12-10;Not Available;100.46041344027408
ADI;USD;USD;Analog Devices Inc;2;0.01;22;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;7.073842;244.56;244.78;Technology;Semiconductors;4.459286;12.482143;30.38;0.0288987744096739;125721526272;120632385536;Not Available;Not Available;95.95205301199606
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;20;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;5.123173;290.73;290.93;Industrials;Staffing & Employment Services;4.977143;10.465714;24.563571;0.0176096414945175;119220101120;118880018432;2025-10-29;Not Available;99.71474383530534
ADSK;USD;USD;Autodesk Inc;2;0.01;50;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;11.540629;320.91;321.41;Technology;Software - Application;8.117857;16.702857;34.462857;0.0359062536946579;68885913600;68387909632;2025-11-25;Not Available;99.27705979063911
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;3;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.966232;76.34;76.37;Technology;Software - Infrastructure;1.868571;3.851429;11.845714;0.0257461306795862;15267748864;11017733120;2025-11-06;Not Available;72.16344215602628
ALGN;USD;USD;Align Technology Inc;2;0.01;53;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;5.577438;130.9;131.43;Healthcare;Medical Devices;4.582143;17.219286;40.682857;0.042436566993837;8717722624;9536305152;2025-10-29;Not Available;109.38986663496762
ALNY;USD;USD;Alnylam Pharmaceuticals Inc;2;0.01;281;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;14.139684;459.78;462.59;Healthcare;Biotechnology;12.677143;25.139286;53.282143;0.0305663416848613;60327927808;61068312576;2025-10-30;Not Available;101.22726703021586
AMAT;USD;USD;Applied Materials Inc;2;0.01;9;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;10.059936;170.79;170.88;Technology;Semiconductor Equipment & Materials;3.602857;12.180714;33.019286;0.0588713483146067;133424603136;136170004480;2025-11-13;2025-11-19;102.05764250331073
