Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;Enterprise Value;Market Cap;Next Earnings Date;Next Dividend Date;MCap/EV (%);VaR_to_Ask_Ratio
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;1e-05;7;1e-05;1.3638;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.8;2.5;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;470.459154;0.86714;0.86721;Currency;Undefined;0.003465;0.008641;0.018601;;;;;;542.497381257135
EURUSD;EUR;USD;Euro vs US Dollar;5;1e-05;2;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-10.7;4.1;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;906.103687;1.18259;1.18261;Currency;Undefined;0.007204;0.01851;0.041244;;;;;;766.1897726215744
GBPUSD;GBP;USD;Great Britan Pound vs US Dollar;5;1e-05;4;1e-05;1.0;100000.0;0;2;0.01;100.0;0.01;0.0;0.0;0.0;GBP;1970.01.01 00:00;1970.01.01 00:00;-5.3;-2.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;938.81077;1.36376;1.3638;Currency;Undefined;0.00853;0.02059;0.049542;;;;;;688.3786258982257
AAL;USD;USD;American Airlines Group Inc;2;0.01;1;0.01;0.01;1.0;3;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;0.527274;12.47;12.48;Industrials;Airlines;0.427857;1.08;2.597857;36862664704;8265081856;2025-10-23;Not Available;22.421281593088814;0.04224951923076923
ACHC;USD;USD;Acadia Healthcare Co Inc;2;0.01;2;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.280401;21.89;21.91;Healthcare;Medical Care Facilities;1.105;2.4;10.252857;4447522304;2073181056;2025-10-30;Not Available;46.614292504737485;0.05843911455956184
ADBE;USD;USD;Adobe Inc;2;0.01;9;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;9.238105;361.82;361.91;Technology;Software - Infrastructure;9.997857;21.232143;58.496429;153851609088;156688875520;2025-12-10;Not Available;101.8441577886762;0.02552597330828106
ADI;USD;USD;Analog Devices Inc;2;0.01;21;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;6.836396;246.25;246.46;Technology;Semiconductors;4.683571;12.482143;30.38;126415183872;123334205440;Not Available;Not Available;97.56280983214832;0.02773835916578755
ADP;USD;USD;Automatic Data Processing Inc;2;0.01;26;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;5.151494;288.37;288.63;Industrials;Staffing & Employment Services;5.216429;10.465714;24.563571;118359343104;117705539584;2025-10-29;Not Available;99.44761139859865;0.01784808924921179
ADSK;USD;USD;Autodesk Inc;2;0.01;24;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;11.548263;319.02;319.26;Technology;Software - Application;7.928571;16.702857;34.462857;68504641536;69084422144;2025-11-25;Not Available;100.84633770062912;0.036171969554595
AKAM;USD;USD;Akamai Technologies Inc;2;0.01;2;0.01;0.01;1.0;4;2;1.0;1000.0;1.0;0.0;0.0;0.0;USD;1970.01.01 00:00;1970.01.01 00:00;-6.2;2.8;0;5;13:55-23:20 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 16:32-22:59 ;1.944028;75.79;75.81;Technology;Software - Infrastructure;1.857143;3.851429;11.845714;15178849280;11012009984;2025-11-06;Not Available;72.54838480087999;0.02564342435034956
