Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1;VaR_to_Ask_Ratio
AUDCAD;AUD;CAD;Australian Dollar vs Canadian Dollar;5;1e-05;27;1e-05;0.722209;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;AUD;1970.01.01 00:00;1970.01.01 00:00;0.3;-4.6;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;340.60863;0.92023;0.9205;Currency;Undefined;0.005329;0.011452;0.025819;370.0256708310701
AUDCHF;AUD;CHF;Australian Dollar vs Swiss Franc;5;1e-05;20;1e-05;1.255146;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;AUD;1970.01.01 00:00;1970.01.01 00:00;4.0;-6.9;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;382.849796;0.52951;0.52971;Currency;Undefined;0.003961;0.008356;0.023921;722.7535745974212
AUDJPY;AUD;JPY;Australian Dollar vs Japanese Yen;3;0.001;20;0.001;0.677135;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;AUD;1970.01.01 00:00;1970.01.01 00:00;0.0;0.0;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;393.495569;98.164;98.184;Currency;Undefined;0.599571;1.674286;5.2885;4.007736179010837
AUDNZD;AUD;NZD;Australian Dollar vs New Zealand Dollar;5;1e-05;167;1e-05;0.59556;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;AUD;1970.01.01 00:00;1970.01.01 00:00;-1.0;-5.1;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;267.175529;1.11537;1.11704;Currency;Undefined;0.004119;0.008226;0.02006;239.18170253527177
AUDUSD;AUD;USD;Australian Dollar vs US Dollar;5;1e-05;10;1e-05;1.0;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;AUD;1970.01.01 00:00;1970.01.01 00:00;-3.0;-0.2;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;486.819974;0.66472;0.66482;Currency;Undefined;0.004861;0.011276;0.029379;732.258316536807
CADCHF;CAD;CHF;Canadian Dollar vs Swiss Franc;5;1e-05;21;1e-05;1.255146;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;CAD;1970.01.01 00:00;1970.01.01 00:00;2.6;-6.4;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;398.020662;0.57531;0.57552;Currency;Undefined;0.003335;0.008216;0.019869;691.5844140950792
CADJPY;CAD;JPY;Canadian Dollar vs Japanese Yen;3;0.001;25;0.001;0.677135;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;CAD;1970.01.01 00:00;1970.01.01 00:00;0.0;0.0;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;457.527332;106.659;106.684;Currency;Undefined;0.640071;1.645857;5.039857;4.2886218364515765
CHFJPY;CHF;JPY;Swiss Frank vs Japanese Yen;3;0.001;48;0.001;0.677135;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;CHF;1970.01.01 00:00;1970.01.01 00:00;0.0;0.0;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;581.972196;185.365;185.413;Currency;Undefined;0.923929;2.200571;6.474143;3.138788520761759
EURAUD;EUR;AUD;Euro vs Australian Dollar;5;1e-05;31;1e-05;0.66472;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-13.6;2.7;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;569.115678;1.76464;1.76495;Currency;Undefined;0.0092;0.022714;0.063008;322.45427802487325
EURCAD;EUR;CAD;Euro vs Canadian Dollar;5;1e-05;31;1e-05;0.722209;100000.0;4;2;0.01;100.0;0.01;0.0;0.0;0.0;EUR;1970.01.01 00:00;1970.01.01 00:00;-7.0;0.3;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;649.82865;1.62414;1.62445;Currency;Undefined;0.007828;0.020314;0.044316;400.0299485979871
