Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
AUDCAD;AUD;CAD;Australian Dollar vs Canadian Dollar;5;0.000010;26;0.000010;0.716769;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;365.155151;0.920870;0.921130;Currency;Undefined;0.005058;0.011995;0.025701
AUDCHF;AUD;CHF;Australian Dollar vs Swiss Franc;5;0.000010;15;0.000010;1.257103;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;370.871817;0.525010;0.525160;Currency;Undefined;0.003811;0.007901;0.022070
AUDJPY;AUD;JPY;Australian Dollar vs Japanese Yen;3;0.001000;21;0.001000;0.678007;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;364.891137;97.349000;97.370000;Currency;Undefined;0.596571;1.524643;4.602000
AUDNZD;AUD;NZD;Australian Dollar vs New Zealand Dollar;5;0.000010;35;0.000010;0.583180;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;307.917859;1.131810;1.132160;Currency;Undefined;0.005676;0.009211;0.020961
AUDUSD;AUD;USD;Australian Dollar vs US Dollar;5;0.000010;7;0.000010;1.000000;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;AUD;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;454.633669;0.660180;0.660250;Currency;Undefined;0.004509;0.011626;0.028700
CADCHF;CAD;CHF;Canadian Dollar vs Swiss Franc;5;0.000010;24;0.000010;1.257103;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CAD;1970.01.01 00:00;1970.01.01 00:00;2.300000;-6.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;457.703879;0.570080;0.570320;Currency;Undefined;0.003659;0.007834;0.018826
CADJPY;CAD;JPY;Canadian Dollar vs Japanese Yen;3;0.001000;19;0.001000;0.678007;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CAD;1970.01.01 00:00;1970.01.01 00:00;4.000000;-8.700000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;437.988255;105.712000;105.731000;Currency;Undefined;0.691071;1.569714;4.435643
CHFJPY;CHF;JPY;Swiss Frank vs Japanese Yen;3;0.001000;41;0.001000;0.678007;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;CHF;1970.01.01 00:00;1970.01.01 00:00;-8.400000;-2.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;756.758606;185.396000;185.437000;Currency;Undefined;0.937429;2.161000;6.061071
EURAUD;EUR;AUD;Euro vs Australian Dollar;5;0.000010;30;0.000010;0.660180;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;615.174666;1.778120;1.778420;Currency;Undefined;0.009562;0.021516;0.060529
EURCAD;EUR;CAD;Euro vs Canadian Dollar;5;0.000010;19;0.000010;0.716769;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.000000;-1.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;627.963868;1.637620;1.637810;Currency;Undefined;0.008729;0.019405;0.044140
EURCHF;EUR;CHF;Euro vs Swiss Franc;5;0.000010;5;0.000010;1.257103;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;3.000000;-8.600000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;282.634477;0.933770;0.933820;Currency;Undefined;0.002825;0.006961;0.020114
EURGBP;EUR;GBP;Euro vs Great Britain Pound ;5;0.000010;15;0.000010;1.347910;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-6.800000;2.400000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;412.177046;0.870830;0.870980;Currency;Undefined;0.003249;0.008118;0.018646
EURJPY;EUR;JPY;Euro vs Japanese Yen;3;0.001000;23;0.001000;0.678007;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;3.500000;-12.100000;1;3;15:30-21:15 00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;613.506793;173.132000;173.155000;Currency;Undefined;0.801000;2.051714;6.561500
EURMXN;EUR;MXN;Euro vs. Mexican Peso;5;0.000010;726;0.000010;0.054330;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-572.700000;105.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;585.975778;21.602780;21.610040;Currency;Undefined;0.134711;0.287951;1.001126
EURNOK;EUR;NOK;Euro vs Norwegian Kroner;5;0.000010;247;0.000010;0.100512;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-114.400000;14.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;698.231957;11.675320;11.677790;Currency;Undefined;0.076587;0.164648;0.399426
EURNZD;EUR;NZD;Euro vs New Zealand Dollar;5;0.000010;32;0.000010;0.583180;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-11.200000;-4.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;723.024527;2.012810;2.013130;Currency;Undefined;0.011555;0.026226;0.063503
EURSEK;EUR;SEK;Euro vs Swedish krona;5;0.000010;416;0.000010;0.106712;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-23.100000;-42.100000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;525.110530;10.997700;11.001860;Currency;Undefined;0.065169;0.148277;0.307712
EURTRY;EUR;TRY;Euro vs. Turkish Lira;5;0.000010;7273;0.000010;0.023987;100000.000000;3;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-14775.900000;-24917.900000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;717.296268;48.948100;49.020830;Currency;Undefined;0.314739;0.782346;2.046588
EURUSD;EUR;USD;Euro vs US Dollar;5;0.000010;5;0.000010;1.000000;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;EUR;1970.01.01 00:00;1970.01.01 00:00;-9.900000;3.500000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;813.236342;1.173960;1.174010;Currency;Undefined;0.007614;0.018152;0.041763
GBPAUD;GBP;AUD;Great Britain Pound vs Australian Dollar;5;0.000010;48;0.000010;0.660180;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;0.000000;0.000000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;561.769402;2.041480;2.041960;Currency;Undefined;0.011236;0.026015;0.063183
GBPCAD;GBP;CAD;Great Britain Pound vs Canadian Dollar;5;0.000010;48;0.000010;0.716769;100000.000000;4;2;0.010000;100.000000;0.010000;0.000000;0.000000;0.000000;GBP;1970.01.01 00:00;1970.01.01 00:00;2.800000;-12.200000;1;3;00:05-00:00 00:04-00:00 00:04-00:00 00:04-00:00 00:04-23:55 ;734.931798;1.880220;1.880700;Currency;Undefined;0.010955;0.022595;0.052620
