Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginRate;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;VaR_to_Ask_Ratio
BZ_U;USD;USD;Brent Crude Oil September;2;0.01;1;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1738.882872;69.03;69.04;Commodities;Commodities - Energy;25.186600115874853
BZ_V;USD;USD;Brent Crude Oil October;2;0.01;3;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1712.757944;68.2;68.23;Commodities;Commodities - Energy;25.102710596511795
CL_U;USD;USD;Light Sweet Crude September;2;0.01;1;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1694.443684;65.78;65.79;Commodities;Commodities - Energy;25.755337954096365
ES_U;USD;USD;E-Mini S&P 500 September;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2397.545748;6347.25;6347.5;Indexes;Utilities - Regulated Electric;0.37771496620716816
GC_Q;USD;USD;Gold August;1;0.1;4;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;4934.865059;3410.5;3410.9;Commodities;Undefined;1.4467926526723152
GC_V;USD;USD;Gold October;1;0.1;5;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;4961.107868;3438.1;3438.6;Commodities;Undefined;1.4427696934799046
HE_Q;USD;USD;Lean Hogs August;3;0.001;25;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;797.215885;107.275;107.3;Utilities;Utilities - Diversified;7.429784575955265
HG_U;USD;USD;Copper September;4;0.0001;20;0.0005;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;5681.5312;5.6395;5.6415;Commodities;Commodities - Precious;1007.0958433040859
HO_Q;USD;USD;Heating Oil August;4;0.0001;55;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3512.825422;2.4898;2.4953;Commodities;Undefined;1407.7767891636277
HO_U;USD;USD;Heating Oil September;4;0.0001;45;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3300.36923;2.4582;2.4627;Commodities;Undefined;1340.14261988874
KE_U;USD;USD;Hard Red Wheat September;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;613.450615;525.0;525.25;Commodities;Commodities - Agricultural;1.16792120894812
LE_Q;USD;USD;Live Cattle August;3;0.001;50;0.025;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1473.677995;225.2;225.25;Commodities;Commodities - Agricultural;6.542410632630411
NG_Q;USD;USD;Natural Gas August;3;0.001;4;0.001;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1882.181158;3.311;3.315;Commodities;Commodities - Energy;567.7771215686275
NG_U;USD;USD;Natural Gas September;3;0.001;4;0.001;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1900.161265;3.338;3.342;Commodities;Commodities - Energy;568.5700972471574
NQ_U;USD;USD;E-mini Nasdaq 100 September;2;0.01;125;0.25;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;4337.436078;23343.75;23345.5;Indexes;Undefined;0.18579323972500053
PL_V;USD;USD;Platinum October;1;0.1;7;0.1;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;3483.797832;1493.0;1493.7;Commodities;Commodities - Precious;2.3323276641895965
RB_Q;USD;USD;RBOB Gasoline August;4;0.0001;40;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1963.9787;2.124;2.128;Commodities;Undefined;922.9223214285713
RB_U;USD;USD;RBOB Gasoline September;4;0.0001;35;0.0001;4.2;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;1895.417437;2.0884;2.0919;Commodities;Undefined;906.0745910416368
RTY_U;USD;USD;E-Mini Rusell 2000 Index September;1;0.1;4;0.1;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2083.87445;2247.1;2247.5;Indexes;Undefined;0.927196640711902
SI_U;USD;USD;Silver September;3;0.001;10;0.005;25.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;4631.498193;39.255;39.265;Commodities;Commodities - Precious;117.95487566535083
YM_U;USD;USD;E-Mini DJIA September;0;1.0;4;1.0;5.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;2471.235094;44601.0;44605.0;Indexes;Undefined;0.055402647550723015
ZC_U;USD;USD;Corn September;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;531.607739;403.75;404.0;Commodities;Commodities - Agricultural;1.3158607400990099
ZL_Q;USD;USD;Soybean Oil August;2;0.01;2;0.01;6.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;735.245392;56.03;56.05;Commodities;Commodities - Agricultural;13.11766979482605
ZL_Z;USD;USD;Soybean Oil December;2;0.01;1;0.01;6.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;741.16416;55.8;55.81;Commodities;Undefined;13.280131876007884
ZM_Q;USD;USD;Soybean Meal August;1;0.1;1;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;443.873631;270.6;270.7;Commodities;Commodities - Agricultural;1.639725271518286
ZM_Z;USD;USD;Soybean Meal December;1;0.1;2;0.1;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;454.807778;284.9;285.1;Commodities;Commodities - Agricultural;1.5952570256050507
ZN_U;USD;USD;10Y US Treasury Note September;6;1e-06;15625;0.015625;15.625;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;463.663572;111.125;111.140625;Financial;Undefined;4.171863996625897
ZS_Q;USD;USD;Soybeans August;2;0.01;50;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;933.339203;1014.75;1015.25;Commodities;Commodities - Agricultural;0.9193195794139375
ZS_X;USD;USD;Soybeans November;2;0.01;25;0.25;12.5;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;USD;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;935.867103;1026.25;1026.5;Commodities;Commodities - Agricultural;0.911706870920604
FDAX_U;EUR;EUR;DAX Index September;0;1.0;3;1.0;25.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;9091.22655;24330.0;24333.0;Indexes;Undefined;0.37361716804339784
FESX_U;EUR;EUR;Euro Stoxx 50 September;0;1.0;1;1.0;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;761.295421;5341.0;5342.0;Indexes;Undefined;0.14251131055784352
FGBL_U;EUR;EUR;Bund September;2;0.01;2;0.01;10.0;1.0;4;2;1.0;20.0;1.0;0.0;0.0;0.0;0.0;EUR;1970.01.01 00:00;0.0;-2.88;-1030792151;0;5;0.0;505.443002;130.39;130.41;Indexes;Undefined;3.8757994172226056
