Symbol;BaseCurrency;QuoteCurrency;Description;Digits;Point;Spread;TickSize;TickValue;TradeContractSize;TradeMode;TradeExecutionMode;VolumeMin;VolumeMax;VolumeStep;MarginInitial;MarginMaintenance;MarginHedged;MarginCurrency;StartDate;ExpirationDate;SwapLong;SwapShort;SwapType;Swap3Days;TradeSessions;VaR_1_Lot;BidPrice;AskPrice;SectorName;IndustryName;ATR_D1;ATR_W1;ATR_MN1
6A_Z;USD;USD;Australian Dollar December;5;0.000010;5;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;2300.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;427.607122;0.660700;0.660750;Currency;Undefined;0.005125;0.011607;0.029532
6B_Z;USD;USD;British Pound December;4;0.000100;1;0.000100;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;2300.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;570.131369;1.351800;1.351900;Currency;Undefined;0.009371;0.021129;0.049450
6C_Z;USD;USD;Canadian Dollar December;5;0.000010;5;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;1500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;275.723168;0.726300;0.726350;Currency;Undefined;0.002989;0.007361;0.019743
6E_Z;USD;USD;Euro FX December;5;0.000010;10;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;4200.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1047.174266;1.185600;1.185700;Currency;Undefined;0.007861;0.018171;0.041421
6J_Z;JPY;USD;Japanese Yen December;7;0.000000;5;0.000000;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;3900.000000;0.000000;0.000000;JPY;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;543.658413;0.006825;0.006827;Currency;Undefined;0.000056;0.000123;0.000346
6N_Z;USD;USD;New Zeland Dollar December;5;0.000010;5;0.000050;5.000000;1.000000;4;2;1.000000;20.000000;1.000000;2100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;514.229801;0.588750;0.588800;Currency;Undefined;0.005261;0.011807;0.029221
6S_Z;USD;USD;Swixx Franc December;5;0.000010;15;0.000050;6.250000;1.000000;4;2;1.000000;20.000000;1.000000;5500.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1261.330660;1.274350;1.274500;Currency;Undefined;0.009136;0.018804;0.038893
BZ_X;USD;USD;Brent Crude Oil November;2;0.010000;2;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;13100.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1480.960845;66.540000;66.560000;Commodities;Commodities - Energy;1.465714;4.137143;8.029286
BZ_Z;USD;USD;Brent Crude Oil December;2;0.010000;2;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;13400.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1454.055488;65.950000;65.970000;Commodities;Commodities - Energy;1.429286;3.566429;7.472143
CL_X;USD;USD;Light Sweet Crude November;2;0.010000;1;0.010000;10.000000;1.000000;4;2;1.000000;20.000000;1.000000;12700.000000;0.000000;0.000000;USD;1970.01.01 00:00;1970.01.01 00:00;-2.880000;-0.220000;0;5;01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 01:00-00:00 ;1518.016175;62.280000;62.290000;Commodities;Commodities - Energy;1.455000;4.137143;7.797143
